,41.1,48.6,54.2,55.7,60.7,57.2,55.9,55.8,57.1,58.7,59.9,61,63.4,66.8,69.3,72,1200
,40.7,42.2,45.1,46.9,48.7,50.8,52,53.5,54.8,56.4,57.8,58.9,61.5,65,67.6,70.4,800
,40.2,40.6,43.6,44.5,45.4,47.5,49.9,51.5,52.8,54.4,55.8,57.1,59.5,63,65.5,68.2,400
,20,35,49,64,79,93,108,123,137,152,167,181,196,211,225,240,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
Pos is added,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800
,0,0,0,0,0,0,0,0,0,2.3,4.1,1.7,-0.1,0,0,0,6400
,0,0,0,0,0,0,0,0,0,2.7,4.9,3.6,0.7,-0.8,0,0,6000
,0,0,0,0,0,0,0,0,3.4,6.3,5.3,4.2,0.9,-0.7,0,0,5600
,0,0,0,0,0,0,0,0,0,2.9,5.5,4.4,0.9,-0.5,0,0,5200
,0,0,0,0,0,0,0,0,2.7,5.1,5,4.3,1.1,-0.7,0,0,4800
,0,0,0,0,0,0,0,2.8,4.8,5.4,5.2,2.3,0.1,0,0,0,4400
,0,1.4,0.7,-1.2,-1.7,0,3.8,6.1,5.7,5.3,2.6,0.9,0,0,0,0,4000
,0,3.8,2.8,3,0.1,-1.1,4.3,6.4,2.9,1.1,0,0,0,0,0,0,3600
,0,3.1,3.8,4.5,0.8,-0.8,0,0,0,0,0,0,0,0,0,0,3200
,1.4,-1.1,-0.8,2.7,-0.1,-1.1,0,0,0,0,0,0,0,0,0,0,2800
,2.6,2,1.9,5.3,0.9,-0.6,0,0,0,0,0,0,0,0,0,0,2400
,0,4.2,5.2,7.2,4.8,1.3,0.3,0,0,0,0,0,0,0,0,0,2000
,0,5.2,6.9,6.4,6.9,7.1,3,1.1,0,0,0,0,0,0,0,0,1600
,0,5.6,7.6,6.5,8.9,3.5,1.3,0,0,0,0,0,0,0,0,0,1200
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,20,35,49,64,79,93,108,123,137,152,167,181,196,211,225,240,
